,Cells/Single Cells - FSC/Single Cells - SSC/CD81- | Freq. of Parent (%),Cells/Single Cells - FSC/Single Cells - SSC/GFP+/CD81- | Freq. of Parent (%),
pV2TUdCtrl2_CD81ko_anti-CD81-stained.fcs,98.4,98.6,
pV2TUdCtrl2_NTC_anti-CD81-stained.fcs,2.15,2.10,
pV2TUdCtrl4_CD81ko_anti-CD81-stained.fcs,98.5,98.6,
pV2TUdCtrl4_NTC_anti-CD81-stained.fcs,2.78,2.74,
pV2TUdCtrl5_CD81ko_anti-CD81-stained.fcs,97.2,97.3,
pV2TUdCtrl7_CD81ko_anti-CD81-stained.fcs,97.9,98.1,
pV2TUdCtrl9_CD81ko_anti-CD81-stained.fcs,96.8,96.9,
Mean,76.5,76.6,
SD,42.0,42.1,
